,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
144,Bruxelles-Sud,House,Penthouse,1290000,No,5,None,0,0,None,,None,None,None,4,None,To be done up
145,,,,None,,,None,0,,None,,None,None,None,,None,
146,Projets Bruxelles Sud,House,Penthouse,1950000,No,3,None,0,0,None,,None,None,None,2,None,As new
147,1 ZOUTE,House,Penthouse,4850000,No,3,None,0,1,None,,None,None,None,2,None,As new
148,2 - Brabant Wallon Ouest,House,Penthouse,439500,No,2,None,0,0,None,,None,None,None,4,None,
149,,House,Penthouse,270000,No,3,None,0,0,None,1,None,None,None,4,None,
150,,House,Penthouse,270000,No,3,None,0,0,None,1,None,None,None,4,None,
151,,House,Penthouse,270000,No,3,None,0,0,None,,None,None,None,4,None,
152,,House,Penthouse,270000,No,3,None,0,0,None,,None,None,None,4,None,
153,1 - Bruxelles Est,House,Penthouse,598000,No,3,None,0,0,None,,None,None,None,2,None,As new
154,Projets Bruxelles Est,House,Penthouse,1550000,No,4,None,0,0,None,,None,None,None,2,None,As new
155,Projets Bruxelles Est,House,Penthouse,1750000,No,3,None,0,0,None,,None,None,None,2,None,As new
156,Projets Bruxelles Est,House,Penthouse,2950000,No,3,None,0,0,None,,None,None,None,2,None,As new
157,,House,Penthouse,249000,No,1,None,1,0,None,,None,None,None,3,None,Good
158,Bruxelles (19 communes),House,Penthouse,410000,No,2,None,0,0,None,,None,None,None,2,None,Good
159,,House,Penthouse,445000,No,2,None,1,0,None,,None,None,None,2,None,Good
160,Gent en omstreken,House,Penthouse,380000,No,1,None,0,0,None,,None,None,None,3,None,As new
161,Bruxelles Nord,House,Penthouse,385000,No,2,None,0,0,None,,None,None,None,3,None,As new
162,,House,Penthouse,980000,No,3,None,0,0,None,,None,None,None,2,None,As new
163,,House,Penthouse,990000,No,3,None,0,0,None,,None,None,None,2,None,As new
164,Bruxelles,House,Penthouse,1350000,No,3,None,0,,None,,None,None,None,,None,As new
165,Bruxelles,House,Penthouse,1450000,No,3,None,0,,None,,None,None,None,4,None,As new
166,Bruxelles Sud et Centre,House,Penthouse,1450000,No,3,None,0,0,None,,None,None,None,4,None,As new
167,Bruxelles Sud et Centre,House,Penthouse,2150000,No,3,None,0,0,None,,None,None,None,4,None,As new
168,Bruxelles (19 communes),House,Penthouse,235000,No,1,None,0,1,None,,None,None,None,2,None,Good
169,,House,Penthouse,375000,No,2,None,0,0,None,,None,None,None,2,None,Good
170,,House,Penthouse,415000,No,2,None,0,0,None,,None,None,None,2,None,As new
171,,House,Penthouse,499500,No,3,None,1,0,None,1,None,None,None,2,None,Good
172,Projets Bruxelles Est,House,Penthouse,975000,No,3,None,0,0,None,,None,None,None,2,None,Just renovated
173,,House,New,From 268000 To 695000,No,,None,0,,None,,None,None,None,,None,
174,Centre,House,Penthouse,250000,No,3,None,0,0,None,,None,None,None,4,None,
175,Centre,House,Penthouse,327500,No,3,None,0,0,None,,None,None,None,4,None,
176,,House,Penthouse,555000,No,2,None,0,0,None,,None,None,None,4,None,
177,,House,Penthouse,555000,No,2,None,0,0,None,,None,None,None,4,None,
178,,House,Penthouse,1295000,No,3,None,0,0,None,,None,None,None,,None,As new
179,Projets Bruxelles Est,House,Penthouse,1395000,No,4,None,0,0,None,,None,None,None,2,None,As new
180,,House,Penthouse,1900000,No,3,None,0,0,None,,None,None,None,2,None,
181,1 - Bruxelles Est,House,Penthouse,599000,No,2,None,0,0,None,,None,None,None,2,None,As new
182,,House,Penthouse,79000,No,1,None,0,0,None,,None,None,None,,None,Good
183,,House,Penthouse,249000,No,1,None,0,0,None,1,None,None,None,,None,Good
184,,House,Penthouse,285000,No,2,None,1,0,None,,None,None,None,,None,
185,,House,Penthouse,360000,No,2,None,1,0,None,,None,None,None,3,None,Good
186,,House,Penthouse,425000,No,3,None,0,,None,,None,None,None,3,None,As new
187,,House,Penthouse,425000,No,3,None,0,,None,,None,None,None,3,None,As new
188,,House,Penthouse,625000,No,3,None,0,1,None,,None,None,None,2,None,As new
189,Knokke-Zoute,House,Penthouse,2470000,No,2,None,0,0,None,,None,None,None,2,None,Good
190,1 - Bruxelles Est,House,Penthouse,485000,No,2,None,0,0,None,,None,None,None,2,None,As new
191,,House,Penthouse,270000,No,1,None,0,0,None,,None,None,None,,None,As new
192,Bruxelles Est,House,Penthouse,695000,No,3,None,0,0,None,,None,None,None,3,None,As new
193,,House,Penthouse,280000,No,2,None,0,0,None,,None,None,None,,None,Good
194,Bruxelles est/sud-est,House,Penthouse,355000,No,2,None,0,0,None,,None,None,None,2,None,As new
195,Eilandje,House,Penthouse,3800000,No,5,None,0,,None,,None,None,None,4,None,As new
196,,House,Penthouse,299000,No,1,None,0,0,None,,None,None,None,2,None,Good
197,,House,Penthouse,1600000,No,2,None,0,0,None,,None,None,None,4,None,
198,Bruxelles Sud et Centre,House,Penthouse,2500000,No,4,None,0,0,None,,None,None,None,2,None,As new
199,,House,Penthouse,489000,No,3,None,1,0,None,,None,None,None,3,None,To renovate
200,,House,Penthouse,575000,No,3,None,0,0,None,,None,None,None,,None,As new
201,"Schaerbeek, Evere",House,Penthouse,225000,No,1,None,1,0,None,,None,None,None,,None,As new
202,,House,Penthouse,295000,No,2,None,1,0,None,,None,None,None,2,None,Good
203,Bruxelles,House,Penthouse,349000,No,2,None,0,0,None,,None,None,None,2,None,As new
204,Bruxelles,House,Penthouse,349000,No,2,None,0,0,None,,None,None,None,2,None,As new
205,,House,Penthouse,350000,No,3,None,0,0,None,,None,None,None,4,None,
206,R Woluwe,House,Penthouse,425000,No,2,None,0,0,None,,None,None,None,2,None,As new
207,,House,Penthouse,510000,No,2,None,0,0,None,,None,None,None,3,None,
208,,House,Penthouse,739000,No,2,None,0,0,None,,None,None,None,,None,
209,,House,Penthouse,949000,No,3,None,1,0,None,,None,None,None,,None,As new
210,1 ZOUTE,House,Penthouse,2250000,No,3,None,0,,None,1,None,None,None,3,None,As new
