,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
114,,House,Apartment,675000,Yes,15,555,0,0,None,,None,None,None,2,None,Good
115,Liège,House,Apartment,1100000,Yes,8,450,1,0,None,,None,None,None,2,None,As new
116,,House,Apartment,2800000,Yes,10,1000,0,0,None,1,None,None,None,4,None,Good
117,,House,Apartment,725000,Yes,3,220,0,0,None,,None,None,None,2,None,
118,Charleroi,House,Apartment,134900,Yes,4,125,1,0,None,,None,None,None,3,None,Good
119,,House,Apartment,269000,Yes,5,176,0,0,None,,None,None,None,2,None,Good
120,,House,Apartment,279000,Yes,7,209,0,0,None,,None,None,None,2,None,Good
121,Wallonne,House,Apartment,289900,Yes,7,434,1,0,None,,None,None,None,4,None,To renovate
122,,House,Apartment,360000,Yes,4,238,1,0,None,,None,None,None,2,None,Just renovated
123,,House,Apartment,375000,Yes,5,230,0,1,None,,None,None,None,2,None,Good
124,,House,Apartment,400000,Yes,4,70,0,0,None,1,None,None,None,2,None,To be done up
125,,House,Apartment,419000,Yes,5,333,0,,None,1,None,None,None,2,None,To renovate
126,Bruxelles (19 communes),House,Apartment,485000,Yes,5,195,0,0,None,,None,None,None,2,None,To renovate
127,,House,Apartment,495000,Yes,10,500,0,0,None,,None,None,None,2,None,To be done up
128,,House,Apartment,620000,Yes,5,320,0,0,None,,None,None,None,2,None,To renovate
129,Oude Dokken,House,Apartment,795000,Yes,6,130,1,1,None,,None,None,None,3,None,Just renovated
130,,House,Apartment,950000,Yes,4,500,1,0,None,,None,None,None,2,None,
131,,House,Apartment,385000,Yes,3,200,1,0,None,,None,None,None,3,None,
132,Zone Province de Liège,House,Apartment,365000,Yes,6,,0,0,None,,None,None,None,2,None,To renovate
133,,House,Apartment,440000,Yes,2,385,0,0,None,,None,None,None,3,None,To renovate
134,,House,Apartment,825000,Yes,3,240,0,0,None,,None,None,None,2,None,Just renovated
135,,House,Apartment,880000,Yes,8,340,0,1,None,,None,None,None,2,None,Good
136,,House,Apartment,1195000,Yes,3,220,0,0,None,,None,None,None,3,None,
137,,House,Apartment,1075000,Yes,6,255,0,0,None,,None,None,None,2,None,To be done up
138,,House,Apartment,165000,Yes,2,115,0,0,None,,None,None,None,2,None,To renovate
139,,House,Apartment,295000,Yes,4,237,0,0,None,,None,None,None,3,None,
140,,House,Apartment,400000,Yes,4,225,0,0,None,,None,None,None,2,None,As new
141,,House,Apartment,497000,Yes,4,286,0,0,None,,None,None,None,2,None,Just renovated
142,Den Dam,House,Apartment,645000,Yes,3,226,1,0,None,,None,None,None,2,None,Good
143,,House,Apartment,649000,Yes,7,280,1,0,None,,None,None,None,2,None,Good
144,,House,Apartment,715000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
145,,House,Apartment,750000,Yes,8,310,0,0,None,,None,None,None,2,None,Good
146,,House,Apartment,775000,Yes,6,2000,0,0,None,,None,None,None,4,None,To renovate
147,,House,Apartment,845000,Yes,7,315,1,0,None,1,None,None,None,2,None,To be done up
148,,House,Apartment,1350000,Yes,4,293,1,1,None,,None,None,None,3,None,As new
149,,House,Apartment,2400000,Yes,,,1,0,None,1,None,None,None,3,None,As new
150,,House,Apartment,3200000,Yes,,meters,0,0,None,1,None,None,None,2,None,To be done up
151,,House,Apartment,485000,Yes,3,190,1,,None,1,None,None,None,2,None,Good
152,Bruxelles (19 communes),House,Apartment,625000,Yes,8,250,0,0,None,,None,None,None,2,None,To renovate
153,Regio Leuven,House,Apartment,528000,Yes,3,150,1,0,None,,None,None,None,2,None,Good
154,,House,Apartment,149000,Yes,2,132,0,0,None,1,None,None,None,,None,To renovate
155,,House,Apartment,295000,Yes,6,200,0,0,None,,None,None,None,,None,
156,,,,None,,,,0,,None,,None,None,None,,None,
157,,House,Apartment,1240000,Yes,4,560,0,,None,,None,None,None,3,None,As new
158,,House,Apartment,1850000,Yes,,meters,1,0,None,1,None,None,None,2,None,As new
159,,House,Apartment,350000,Yes,3,,0,0,None,1,None,None,None,3,None,To renovate
160,urbain,House,Apartment,299000,Yes,3,227,0,0,None,1,None,None,None,2,None,To be done up
161,,House,Apartment,300000,Yes,3,140,1,0,None,,None,None,None,2,None,Just renovated
162,,House,Apartment,438000,Yes,3,194,0,0,None,,None,None,None,2,None,As new
163,,House,Apartment,440000,Yes,5,205,1,0,None,,None,None,None,1,None,To be done up
164,,House,Apartment,580000,Yes,6,275,1,0,None,1,None,None,None,2,None,To be done up
165,Bruxelles Nord,House,Apartment,669000,Yes,,meters,0,0,None,,None,None,None,2,None,To be done up
166,,House,Apartment,730000,Yes,4,220,1,0,None,,None,None,None,1,None,Good
167,,House,Apartment,800000,Yes,2,440,0,0,None,1,None,None,None,3,None,Good
168,Grand Liège,House,Apartment,710000,Yes,5,289,1,0,None,,None,None,None,4,None,Good
169,,House,Apartment,1940000,Yes,8,,1,0,None,1,None,None,None,2,None,
170,,House,Apartment,150000,Yes,4,229,0,0,None,,None,None,None,,None,To renovate
171,Hannut,House,Apartment,249000,Yes,2,158,0,0,None,,None,None,None,4,None,Good
172,Liège,House,Apartment,275000,Yes,2,91,0,0,None,,None,None,None,3,None,Good
173,,House,Apartment,299000,Yes,3,,1,0,None,,None,None,None,,None,To be done up
174,Liège,House,Apartment,379000,Yes,6,361,0,,None,,None,None,None,2,None,Good
175,,House,Apartment,475000,Yes,8,360,1,0,None,,None,None,None,2,None,Good
176,,House,Apartment,550000,Yes,5,245,1,,None,,None,None,None,2,None,Good
177,,House,Apartment,550000,Yes,5,207,0,0,None,,None,None,None,3,None,Good
178,,House,Apartment,550000,Yes,5,207,0,0,None,,None,None,None,3,None,Good
179,,House,Apartment,550000,Yes,7,519,1,0,None,,None,None,None,4,None,Good
180,,House,Apartment,565000,Yes,4,236,1,0,None,,None,None,None,2,None,Good
181,,House,Apartment,1300000,Yes,6,,1,0,None,,None,None,None,2,None,Good
182,,House,Apartment,1350000,Yes,,,1,0,None,,None,None,None,4,None,To be done up
183,,House,Apartment,860000,Yes,5,159,0,1,None,1,None,None,None,2,None,As new
184,,House,Apartment,790000,Yes,5,220,1,0,None,1,None,None,None,2,None,Good
185,,House,Apartment,535000,Yes,4,200,0,0,None,,None,None,None,,None,
186,,House,Apartment,795000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
187,Groenenhoek,House,Apartment,934000,Yes,6,75,1,0,None,,None,None,None,2,None,Just renovated
188,,House,Apartment,1300000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
189,,House,Apartment,1100000,Yes,5,325,0,0,None,,None,None,None,2,None,As new
190,,House,Apartment,230000,Yes,6,275,1,0,None,,None,None,None,2,None,To renovate
191,Grand Liège,House,Apartment,480000,Yes,9,550,1,0,None,1,None,None,None,4,None,As new
192,,House,Apartment,590000,Yes,7,,0,0,None,,None,None,None,2,None,Just renovated
193,,House,Apartment,299000,Yes,3,70,0,0,None,,None,None,None,3,None,Good
