,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
116,,House,Mixed-use,1350000,Yes,17,,0,1,None,1,None,None,None,4,None,Good
117,,House,Mixed-use,1350000,Yes,17,,0,1,None,1,None,None,None,4,None,Good
118,,House,Mixed-use,1350000,Yes,17,,0,1,None,1,None,None,None,4,None,Good
119,,House,Mixed-use,480000,Yes,6,200,0,0,None,,None,None,None,2,None,To renovate
120,Liège,House,Mixed-use,445000,Yes,2,281,1,,None,,None,None,None,3,None,Good
121,,House,Mixed-use,224000,Yes,2,72,0,0,None,,None,None,None,2,None,Good
122,,House,Mixed-use,385000,Yes,2,221,0,0,None,,None,None,None,3,None,As new
123,,House,Mixed-use,455000,Yes,4,320,1,0,None,1,None,None,None,3,None,Good
124,,House,Mixed-use,700000,Yes,6,261,0,0,None,,None,None,None,2,None,Good
125,,House,Mixed-use,899000,Yes,2,280,1,0,None,,None,None,None,4,None,Good
126,,House,Mixed-use,2500000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
127,,House,Mixed-use,925000,Yes,7,605,1,0,None,,None,None,None,,None,
128,,House,Mixed-use,144000,Yes,,meters,0,0,None,,None,None,None,3,None,
129,,House,Mixed-use,295000,Yes,2,,0,0,None,,None,None,None,3,None,To renovate
130,,House,Mixed-use,295000,Yes,4,250,0,0,None,,None,None,None,2,None,
131,Limburg,House,Mixed-use,299000,Yes,4,327,0,0,None,1,None,None,None,4,None,Good
132,Groot-Gent,House,Mixed-use,335000,Yes,3,394,0,0,None,,None,None,None,3,None,To renovate
133,,House,Mixed-use,370000,Yes,2,363,0,0,None,1,None,None,None,3,None,To renovate
134,,House,Mixed-use,599000,Yes,4,482,0,,None,,None,None,None,2,None,To be done up
135,Bruxelles Centre,House,Mixed-use,2000000,Yes,8,587,0,0,None,,None,None,None,2,None,Good
136,Liège,House,Mixed-use,259500,Yes,2,165,0,0,None,,None,None,None,2,None,Good
137,Liège,House,Mixed-use,259500,Yes,2,165,0,0,None,,None,None,None,2,None,Good
138,,House,Mixed-use,299000,Yes,3,,1,0,None,,None,None,None,,None,To be done up
139,,House,Mixed-use,345000,Yes,3,128,0,,None,,None,None,None,3,None,As new
140,Limburg,House,Mixed-use,358000,Yes,,,1,,None,1,None,None,None,2,None,Good
141,,House,Mixed-use,419000,Yes,,meters,0,,None,,None,None,None,3,None,To be done up
142,,House,Mixed-use,449000,Yes,5,289,1,0,None,,None,None,None,4,None,To be done up
143,Wallonne,House,Mixed-use,450000,Yes,3,148,1,0,None,,None,None,None,2,None,Good
144,,House,Mixed-use,450000,Yes,6,520,0,0,None,,None,None,None,,None,
145,,House,Mixed-use,495000,Yes,6,275,0,0,None,1,None,None,None,4,None,Good
146,,House,Mixed-use,550000,Yes,,meters,0,,None,1,None,None,None,4,None,Good
147,,House,Mixed-use,575000,Yes,5,206,1,0,None,1,None,None,None,4,None,
148,Grand Liège,House,Mixed-use,199000,Yes,6,278,0,0,None,,None,None,None,2,None,To renovate
149,,House,Mixed-use,270000,Yes,,meters,0,0,None,,None,None,None,2,None,Good
150,,House,Mixed-use,385000,Yes,3,240,0,0,None,,None,None,None,4,None,Just renovated
151,,House,Mixed-use,1395000,Yes,10,470,1,0,None,1,None,None,None,,None,As new
152,,House,Mixed-use,1650000,Yes,,meters,1,0,None,,None,None,None,4,None,As new
153,Ninove en deelgemeente,House,Mixed-use,225000,Yes,3,172,0,0,None,,None,None,None,3,None,Good
154,,House,Mixed-use,630000,Yes,7,600,0,0,None,1,None,None,None,4,None,To renovate
155,,House,Mixed-use,314836,Yes,3,102,1,0,None,,None,None,None,3,None,As new
156,,House,Mixed-use,179000,Yes,3,158,0,0,None,,None,None,None,2,None,Good
157,,House,Mixed-use,235000,Yes,4,215,0,0,None,,None,None,None,2,None,Just renovated
158,,House,Mixed-use,295000,Yes,4,251,1,0,None,1,None,None,None,2,None,As new
159,,House,Mixed-use,295000,Yes,4,165,0,0,None,,None,None,None,2,None,Good
160,,House,Mixed-use,299000,Yes,5,595,0,0,None,,None,None,None,3,None,To be done up
161,,House,Mixed-use,320000,Yes,3,163,1,0,None,,None,None,None,,None,
162,,House,Mixed-use,337000,Yes,4,,0,0,None,,None,None,None,2,None,To be done up
163,,House,Mixed-use,349000,Yes,4,174,0,0,None,,None,None,None,2,None,Good
164,,House,Mixed-use,375000,Yes,3,215,1,0,None,,None,None,None,3,None,As new
165,,House,Mixed-use,450000,Yes,6,565,0,,None,,None,None,None,2,None,To renovate
166,,House,Mixed-use,475000,Yes,4,185,0,0,None,,None,None,None,4,None,As new
167,,House,Mixed-use,598000,Yes,4,250,1,,None,,None,None,None,4,None,To be done up
168,,House,Mixed-use,695000,Yes,11,478,0,0,None,,None,None,None,,None,Good
169,,House,Mixed-use,738000,Yes,4,460,1,0,None,,None,None,None,2,None,Good
170,,House,Mixed-use,750000,Yes,9,,0,0,None,,None,None,None,4,None,
171,Zone Nord Province du Luxembourg,House,Mixed-use,750000,Yes,3,,0,,None,1,None,None,None,4,None,As new
172,,House,Mixed-use,750000,Yes,5,180,0,0,None,,None,None,None,2,None,To be done up
173,,House,Mixed-use,1190000,Yes,4,421,0,,None,,None,None,None,2,None,As new
174,,House,Mixed-use,1250000,Yes,18,700,1,0,None,,None,None,None,4,None,Good
175,,House,Mixed-use,725000,Yes,3,265,0,0,None,,None,None,None,2,None,Good
176,,House,Mixed-use,88000,Yes,,meters,0,0,None,,None,None,None,3,None,
177,,House,Mixed-use,185000,Yes,3,160,0,0,None,,None,None,None,3,None,Good
178,Liège,House,Mixed-use,189500,Yes,3,155,0,0,None,,None,None,None,2,None,Good
179,Liège,House,Mixed-use,199000,Yes,3,145,1,0,None,,None,None,None,2,None,As new
