,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
103,,House,Duplex,435000,No,3,None,1,0,None,1,None,None,None,2,None,Just renovated
104,,House,Duplex,475000,No,4,None,0,0,None,,None,None,None,2,None,To renovate
105,,House,Duplex,587814,No,2,None,0,0,None,,None,None,None,2,None,As new
106,,House,Duplex,595000,No,4,None,1,0,None,,None,None,None,,None,Good
107,,House,Duplex,299000,No,3,None,1,0,None,,None,None,None,,None,Good
108,,House,Duplex,620000,No,3,None,0,0,None,,None,None,None,3,None,As new
109,,House,Duplex,145000,No,2,None,1,0,None,,None,None,None,,None,Good
110,Bruxelles (19 communes),House,Duplex,219000,No,1,None,1,0,None,,None,None,None,2,None,Just renovated
111,,House,Duplex,469000,No,3,None,0,0,None,,None,None,None,3,None,As new
112,,House,Duplex,469000,No,3,None,0,0,None,,None,None,None,3,None,As new
113,,House,Duplex,280500,No,3,None,1,0,None,,None,None,None,2,None,As new
114,Bruxelles Nord,House,Duplex,519000,No,3,None,0,0,None,,None,None,None,3,None,As new
115,,House,T'SUM,From 295000 To 520000,No,,None,0,,None,,None,None,None,,None,
116,Theaterbuurt,House,Duplex,645000,No,3,None,0,0,None,,None,None,None,,None,Good
117,Gent en omstreken,House,Duplex,623000,No,3,None,0,0,None,,None,None,None,2,None,As new
118,Zone Sud Province du Luxembourg,House,Duplex,220000,No,2,None,1,0,None,,None,None,None,2,None,To be done up
119,,House,Duplex,259000,No,3,None,0,0,None,1,None,None,None,4,None,As new
120,,House,Duplex,299000,No,3,None,1,0,None,1,None,None,None,3,None,Good
121,Bruxelles Sud + Centre,House,Duplex,330000,No,2,None,0,0,None,,None,None,None,2,None,To renovate
122,,House,Duplex,580000,No,2,None,0,1,None,,None,None,None,,None,As new
123,,House,Duplex,595000,No,3,None,0,0,None,,None,None,None,2,None,
124,,House,Duplex,655000,No,3,None,0,1,None,,None,None,None,,None,As new
125,,House,Duplex,725000,No,3,None,0,1,None,,None,None,None,,None,As new
126,,House,Duplex,249500,No,3,None,0,0,None,,None,None,None,,None,As new
127,,House,Duplex,276500,No,3,None,1,0,None,,None,None,None,2,None,As new
128,Projets Bruxelles Est,House,Duplex,374000,No,2,None,0,0,None,,None,None,None,2,None,As new
129,Omgeving Kraainem,House,Duplex,420000,No,2,None,0,,None,,None,None,None,,None,As new
130,Antwerpen,House,Residentie,From 395000 To 958293,No,,None,0,,None,,None,None,None,,None,
131,,House,Duplex,385000,No,3,None,1,0,None,,None,None,None,2,None,Good
132,Bruxelles (19 communes),House,Duplex,849000,No,3,None,0,0,None,,None,None,None,3,None,Good
133,,House,Duplex,150000,No,2,None,1,0,None,,None,None,None,,None,Good
134,,House,Duplex,254000,No,4,None,1,0,None,1,None,None,None,,None,Good
135,,House,Duplex,265000,No,2,None,0,0,None,1,None,None,None,,None,As new
136,,House,Duplex,265000,No,2,None,0,0,None,,None,None,None,,None,Good
137,,House,Duplex,265000,No,2,None,0,0,None,,None,None,None,,None,Good
138,,House,Duplex,325000,No,2,None,0,0,None,1,None,None,None,,None,As new
139,,House,Duplex,350000,No,3,None,1,0,None,,None,None,None,,None,Good
140,,House,Duplex,465000,No,3,None,0,0,None,,None,None,None,,None,As new
141,,House,Duplex,499000,No,4,None,0,0,None,,None,None,None,,None,Good
142,Knokke,House,Duplex,995000,No,3,None,0,,None,,None,None,None,2,None,As new
143,,House,Duplex,255000,No,2,None,0,0,None,,None,None,None,,None,Good
144,Gent en omstreken,House,Duplex,415000,No,3,None,0,0,None,,None,None,None,4,None,As new
145,Gent en omstreken,House,Duplex,420000,No,3,None,0,0,None,,None,None,None,4,None,As new
146,,House,LES,From 189000 To 229500,No,,None,0,,None,,None,None,None,,None,
147,Oost-Vlaanderen,House,Gaverling,From 220000 To 420000,No,,None,0,,None,,None,None,None,,None,
148,Liege,House,New,From 270000 To 355000,No,,None,0,,None,,None,None,None,,None,
149,,House,Résidence,From 279500 To 519000,No,,None,0,,None,,None,None,None,,None,
150,,House,Gandhon,From 309500 To 567525,No,,None,0,,None,,None,None,None,,None,
