,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
115,,House,Exceptional,1850000,No,6,607,0,,None,,None,None,None,4,None,As new
116,,House,Exceptional,3450000,No,5,600,1,0,None,,None,None,None,3,None,Good
117,Zuiden van Antwerpen,House,Exceptional,945000,No,4,353,0,,None,1,None,None,None,3,None,As new
118,,House,Exceptional,950000,No,4,261,1,0,None,,None,None,None,,None,
119,,House,Exceptional,1250000,No,10,1771,0,0,None,,None,None,None,4,None,As new
120,,House,Exceptional,1950000,Yes,13,495,1,0,None,,None,None,None,,None,As new
121,Knokke-Heist,House,Luxe,From 3875000 To 4120000,No,,,0,,None,,None,None,None,,None,
122,,House,Exceptional,980000,No,7,236,0,0,None,1,None,None,None,4,None,To be done up
123,,House,Exceptional,1050000,No,2,211,0,,None,1,None,None,None,2,None,As new
124,,House,Exceptional,2800000,No,6,910,0,0,None,1,None,None,None,2,None,
125,,House,Exceptional,3250000,No,5,545,0,,None,,None,None,None,4,None,As new
126,,House,Exceptional,395000,No,3,185,1,0,None,,None,None,None,4,None,Good
127,Antwerpen centrum,House,Exceptional,1495000,No,4,367,0,,None,,None,None,None,2,None,As new
128,Antwerpen centrum,House,Exceptional,1495000,No,4,367,0,,None,,None,None,None,2,None,As new
129,1 ZOUTE,House,Exceptional,1595000,No,4,,0,1,None,1,None,None,None,3,None,As new
130,Luxembourg,House,Exceptional,1650000,No,9,424,0,0,None,,None,None,None,4,None,As new
131,,House,Exceptional,480000,No,2,180,1,0,None,,None,None,None,4,None,Good
132,,House,Exceptional,485000,No,3,235,0,0,None,,None,None,None,4,None,To renovate
133,,House,Exceptional,519900,No,5,300,1,0,None,,None,None,None,3,None,Good
134,,House,Exceptional,1980000,No,6,,0,0,None,,None,None,None,4,None,To be done up
135,,House,Exceptional,3950000,No,5,640,0,0,None,1,None,None,None,2,None,As new
136,,House,Project,From 358939 To 447854,No,,bedrooms,0,,None,,None,None,None,,None,
137,,House,Exceptional,1999000,No,6,952,0,0,None,1,None,None,None,4,None,
138,,House,Exceptional,529000,No,4,180,1,0,None,,None,None,None,2,None,Good
139,,House,Exceptional,1095000,,5,480,0,,None,,None,None,None,4,None,As new
140,,House,Exceptional,1095000,,5,480,0,,None,,None,None,None,4,None,As new
141,,House,Exceptional,560000,No,4,145,0,0,None,,None,None,None,2,None,Good
142,,House,Exceptional,590000,No,6,200,0,,None,,None,None,None,4,None,As new
143,"""Le Village""",House,Exceptional,Starting price : 150000,No,3,,0,,None,,None,None,None,,None,
144,,House,Exceptional,339000,No,3,139,1,0,None,,None,None,None,2,None,As new
145,,House,Exceptional,649000,No,3,189,0,,None,1,None,None,None,2,None,As new
146,,House,Exceptional,649000,No,5,,0,,None,,None,None,None,4,None,To renovate
147,,House,Exceptional,850000,No,4,334,0,0,None,,None,None,None,2,None,
148,,House,Exceptional,995000,No,4,542,0,0,None,,None,None,None,4,None,Good
149,,House,Exceptional,1750000,No,4,548,0,,None,,None,None,None,3,None,As new
150,,House,Exceptional,1900000,No,8,1500,1,,None,1,None,None,None,4,None,To be done up
151,,House,Exceptional,2750000,No,7,680,0,0,None,,None,None,None,4,None,As new
152,Oost- Vlaanderen,House,Exceptional,415000,No,4,205,0,,None,,None,None,None,2,None,As new
153,Oost- Vlaanderen,House,Exceptional,449000,No,4,225,0,,None,,None,None,None,3,None,As new
154,Oost- Vlaanderen,House,Exceptional,449000,No,4,225,0,,None,,None,None,None,3,None,As new
155,,House,Exceptional,935000,Yes,5,510,0,,None,,None,None,None,,None,
156,,House,Exceptional,1950000,Yes,8,540,1,1,None,,None,None,None,,None,
157,,House,Exceptional,1550000,No,6,600,0,0,None,,None,None,None,4,None,As new
158,Grand Liège,House,Exceptional,490000,No,8,501,0,0,None,1,None,None,None,3,None,
159,,House,Exceptional,688000,No,3,270,0,0,None,,None,None,None,4,None,As new
160,,House,Exceptional,1150000,,3,300,1,0,None,1,None,None,None,4,None,Good
161,Zone Centre Province du Luxembourg,House,Exceptional,1785000,No,20,,0,,None,1,None,None,None,4,None,As new
162,,House,Exceptional,340000,No,5,180,0,0,None,,None,None,None,4,None,To be done up
163,,House,Exceptional,690000,No,4,324,0,,None,,None,None,None,4,None,As new
164,,,,None,,,,0,,None,,None,None,None,,None,
165,,House,Exceptional,875000,No,4,357,1,,None,,None,None,None,4,None,Good
166,,House,Exceptional,1195000,No,4,650,1,0,None,,None,None,None,2,None,Good
167,,House,Exceptional,1125000,No,6,540,0,0,None,,None,None,None,4,None,As new
168,,House,Exceptional,1125000,No,6,540,0,0,None,1,None,None,None,4,None,As new
169,,House,Exceptional,1975000,No,5,604,0,0,None,,None,None,None,2,None,As new
170,,House,Exceptional,2800000,No,14,1150,1,0,None,,None,None,None,,None,
171,,House,Exceptional,439900,No,2,145,1,0,None,,None,None,None,2,None,Just renovated
172,,House,Exceptional,349000,No,5,255,1,,None,1,None,None,None,,None,
173,,House,Exceptional,386157,No,3,235,0,,None,1,None,None,None,,None,
174,,House,Exceptional,599000,No,5,215,0,1,None,,None,None,None,2,None,Just renovated
